Allocation Org	Cost Center Name	Direct Cost Center	Reimbursable Cost Center	Reimbursable Facility	Reimbursable Bureau	Reimbursable Composite	
GGCMRA0000	"OFFC OF REG EXEC, SOUTHWEST"	0	0	5.763	12	18.45456	
GGCMRB0000	FT COLLINS SCI CTR	19.5	19.5	18.5	12	54.56	
	SW ECOSYSTEMS FLD STA-ALBUQUERQUE	19.5	19.5	18.5	12	54.56	
	SW ECOSYSTEMS FLD STA-JEMEZ MTNS.	19.5	19.5	18.5	12	54.56	
GGCMRE0000	COLORADO WATER SCI CTR	55.809	55.809	16.59	12	93.08688	84.399
	FIELD OFFC-DURANGO	55.809	55.809	16.59	12	93.08688	
	FIELD OFFC-LAKEWOOD	55.809	55.809	16.59	12	93.08688	
	FIELD OFFC-MEEKER	55.809	55.809	16.59	12	93.08688	
	GRAND JUNCTION OFFC	55.809	55.809	16.59	12	93.08688	
	PUEBLO OFFC	55.809	55.809	16.59	12	93.08688	
GGCMRG0000	FIELD OFFC-ALBUQUERQUE	61.343	61.343	17.227	12	99.9984	
	FIELD OFFC-CARLSBAD	61.343	61.343	17.227	12	99.9984	
	FIELD OFFC-LAS CRUCES	61.343	61.343	17.227	12	99.9984	
	NEW MEXICO WATER SCI CTR	61.343	61.343	17.227	12	99.9984	
	NMWSC - DATA SECTION	61.343	61.343	17.227	12	99.9984	
	NMWSC - INVESTIGATIONS SECTION	61.343	61.343	17.227	12	99.9984	
	ROSWELL FIELD OFFICE	61.343	61.343	17.227	12	99.9984	
GGCMRI0000	DFC BLDG 25 COMPUTER ROOM	0	0	17.412	12	31.50144	
GGCMRK0000	GEOLOGY GEOPHYSICS GEOCHEMISTRY SCI CTR	20	20	19.335	12	56.0552	
GGCMRL0000	Geosciences and Envmnt Chg Science Ctr	29.52	29.52	11.391	12	57.82032	
GGCMRM0000	ENERGY RESOURCES TEAM	26.498	26.498	15.094	12	58.58304	
GGCMRP0000	CRUSTAL IMAG & CHARACTERIZATION TEAM	20	20	19.736	12	56.50432	
GGCMSE0000	FIELD OFFC-HAYS	47.813	47.813	23.141	12	91.46848	
	FIELD OFFC-LAWRENCE	47.813	47.813	23.141	12	91.46848	
	FIELD OFFC-WICHITA	47.813	47.813	23.141	12	91.46848	
	KANSAS WATER SCI CTR	47.813	47.813	23.141	12	91.46848	
